   1.9069893e+03   1.1888835e+03
   2.6011157e+02   1.4594300e+03
   1.2147684e+03   6.6916723e+02
   1.1294906e+03   1.0561397e+02
   1.5892960e+03   1.9178433e+03
   1.7965007e+03   1.5863988e+03
   1.4980532e+03   1.4640087e+03
   1.3541606e+03   1.1010665e+03
   1.2392430e+03   5.7681025e+02
   1.3668698e+03   4.4758284e+02
   3.8979370e+02   9.5954075e+02
   3.9853875e+02   1.3256736e+03
   9.7729405e+02   1.3007072e+03
   1.7687988e+03   1.3957637e+02
   1.9492548e+03   1.5071488e+02
   1.2867510e+03   1.4070894e+03
   5.2380055e+02   1.1403581e+03
   2.4986807e+02   8.5594397e+02
   1.0947568e+02   4.9693610e+02
   9.6254339e+02   1.2913401e+01
   5.3081698e+02   1.1883624e+03
   9.3437672e+02   3.6482637e+02
  -1.8559311e+00   1.3679838e+03
   1.9590583e+03   1.3241491e+03
   2.6475584e+02   1.5043158e+02
   2.4478285e+02   1.9468294e+03
   3.8238762e+02   1.7829670e+03
   1.1205434e+03   8.5751328e+02
   4.5698077e+02   1.1275001e+03
   1.7745367e+03   1.4371951e+03
   1.6503538e+03   8.5689462e+01
   3.7112337e+02   1.6201813e+03
   1.5945623e+00   1.3158500e+03
   1.6218131e+03   1.1527173e+03
   4.5916034e+02   3.5726815e+02
   1.7935238e+03   3.7768669e+01
   1.0712331e+03   5.9008034e+02
   5.3639896e+02   5.3528323e+02
   6.5780689e+02   1.1897314e+02
   4.8226341e+02   8.2427213e+02
   1.6855425e+03   1.8871294e+03
   1.4355633e+03   1.5831391e+03
   2.2923184e+02   3.7157346e+02
   1.1963535e+03   9.7380755e+02
   2.4486460e+02   1.3935521e+03
   3.0675161e+02   1.4039015e+03
   8.0453332e+02   6.2363098e+02
   6.8697810e+02   2.2726982e+02
   6.0077432e+02   2.4322720e+02
   2.8152166e+02   1.0088373e+02
   1.3722717e+03   1.0660885e+03
   1.6684764e+03   2.5010782e+02
   5.5222155e+02   1.9181774e+02
   1.4987286e+03   8.1957901e+02
   8.8013100e+02   1.5568603e+02
