   4.1106494e-12             Inf   4.0522214e-13   2.3993343e-13   8.2276943e-12   5.4754327e-11   2.2696852e-13   7.1733275e-13   3.1357434e-12   1.5037279e-10   9.4375319e-13   3.3132210e-13   3.6543571e-13   2.3296444e-12   2.7121665e-13   6.4101484e-13   2.7032139e-13   2.5699472e-12   4.0076098e-12   8.2145844e-12   3.7736873e-13
   4.3230033e-13   4.0522214e-13             Inf   3.8861033e-14   9.5977217e-14   2.6218333e-13   4.5300528e-14   7.8209901e-14   9.5427156e-13   4.1777428e-13   1.3096061e-10   6.1375430e-14   3.5192555e-09   1.6894858e-11   1.9981331e-12   2.8132627e-10   4.3108009e-14   1.3976239e-13   9.9443174e-12   8.6661992e-14   7.5073166e-09
   9.1727343e-13   2.3993343e-13   3.8861033e-14             Inf   1.5968834e-13   7.7252500e-13   7.3536940e-10   5.3463271e-11   4.2150022e-13   1.1816678e-13   4.6312998e-14   1.3633747e-10   3.2835650e-14   6.0473272e-14   1.0454766e-13   6.0211737e-14   8.0520778e-08   5.1001082e-12   7.6279856e-14   3.0492005e-13   3.3951954e-14
   4.8432340e-13   8.2276943e-12   9.5977217e-14   1.5968834e-13             Inf   3.0087711e-12   1.2877971e-13   3.2356929e-13   3.4146020e-13   9.8842864e-12   1.8292382e-13   1.6095799e-13   9.3596196e-14   3.3234053e-13   6.6232820e-14   1.2289817e-13   1.6939875e-13   6.9963724e-13   4.3154469e-13   2.7981912e-10   9.4952059e-14
   2.5543478e-11   5.4754327e-11   2.6218333e-13   7.7252500e-13   3.0087711e-12             Inf   7.3164883e-13   3.7346409e-12   7.8211310e-12   5.5350969e-12   4.6105938e-13   1.2222622e-12   2.2009684e-13   8.7702142e-13   3.5138901e-13   4.6540046e-13   9.1392168e-13   3.1405506e-11   1.4027351e-12   6.3439788e-12   2.2926187e-13
   1.1980467e-12   2.2696852e-13   4.5300528e-14   7.3536940e-10   1.2877971e-13   7.3164883e-13             Inf   5.7534581e-11   5.5523412e-13   1.1111116e-13   5.1998558e-14   1.5842450e-09   3.7606692e-14   6.6406192e-14   1.4490548e-13   7.2224322e-14   1.5820393e-09   5.2530722e-12   8.3800627e-14   2.3148488e-13   3.8988212e-14
   5.3409029e-12   7.1733275e-13   7.8209901e-14   5.3463271e-11   3.2356929e-13   3.7346409e-12   5.7534581e-11             Inf   1.6408904e-12   2.8446140e-13   9.8084007e-14   2.4448841e-10   6.4425630e-14   1.3598602e-13   2.2371902e-13   1.3143734e-13   9.9086551e-11   1.1962447e-10   1.8103088e-13   6.6407484e-13   6.6978466e-14
   3.2757502e-10   3.1357434e-12   9.5427156e-13   4.2150022e-13   3.4146020e-13   7.8211310e-12   5.5523412e-13   1.6408904e-12             Inf   1.1041788e-12   1.2502024e-12   9.9990141e-13   6.5282495e-13   1.8945623e-12   4.0952706e-12   2.7305289e-12   5.1025917e-13   5.4363286e-12   3.1128350e-12   4.5275303e-13   7.0259437e-13
   1.1464597e-12   1.5037279e-10   4.1777428e-13   1.1816678e-13   9.8842864e-12   5.5350969e-12   1.1111116e-13   2.8446140e-13   1.1041788e-12             Inf   1.1356694e-12   1.5145594e-13   4.1280768e-13   3.0434334e-12   1.7703938e-13   5.5205966e-13   1.2997045e-13   7.5053735e-13   4.6252266e-12   4.7925061e-12   4.2016102e-13
   5.9449479e-13   9.4375319e-13   1.3096061e-10   4.6312998e-14   1.8292382e-13   4.6105938e-13   5.1998558e-14   9.8084007e-14   1.2502024e-12   1.1356694e-12             Inf   7.1070436e-14   1.6517719e-10   4.9472496e-10   1.0364771e-12   5.8881563e-11   5.1391841e-14   1.9291607e-13   1.1120976e-10   1.5416650e-13   1.7821260e-10
