   3.9516234e-13             Inf   5.1552533e-13   4.6656660e-13   1.1492522e-12   1.3435197e-12   8.1051873e-14   2.5158498e-13   6.9769056e-14   1.1593828e-13   1.3990124e-13
   7.3567006e-12   5.1552533e-13             Inf   2.8116235e-09   2.9772361e-10   1.8519505e-12   7.7620339e-14   1.8507026e-10   2.7764224e-13   4.8575623e-12   1.7211669e-11
   1.9346907e-11   4.6656660e-13   2.8116235e-09             Inf   2.8047365e-10   2.8139788e-12   1.0072778e-13   6.4970918e-11   4.2257045e-13   9.8143179e-12   1.1178677e-11
   1.3175737e-11   1.1492522e-12   2.9772361e-10   2.8047365e-10             Inf   5.5341994e-12   1.0967251e-13   1.4799806e-11   3.1626321e-13   2.6241489e-12   3.4904950e-12
   2.0795304e-11   1.3435197e-12   1.8519505e-12   2.8139788e-12   5.5341994e-12             Inf   6.2740614e-13   6.3664779e-13   9.3237000e-13   9.4678665e-13   3.3103694e-13
   3.4178740e-13   8.1051873e-14   7.7620339e-14   1.0072778e-13   1.0967251e-13   6.2740614e-13             Inf   4.9590866e-14   1.3031583e-12   1.2191051e-13   3.7636724e-14
   2.2982008e-12   2.5158498e-13   1.8507026e-10   6.4970918e-11   1.4799806e-11   6.3664779e-13   4.9590866e-14             Inf   1.8975266e-13   4.5020364e-12   3.8278218e-10
   2.3295758e-12   6.9769056e-14   2.7764224e-13   4.2257045e-13   3.1626321e-13   9.3237000e-13   1.3031583e-12   1.8975266e-13             Inf   1.4771285e-12   1.5448675e-13
   1.1249514e-11   1.1593828e-13   4.8575623e-12   9.8143179e-12   2.6241489e-12   9.4678665e-13   1.2191051e-13   4.5020364e-12   1.4771285e-12             Inf   3.9960113e-12
   1.1444116e-12   1.3990124e-13   1.7211669e-11   1.1178677e-11   3.4904950e-12   3.3103694e-13   3.7636724e-14   3.8278218e-10   1.5448675e-13   3.9960113e-12             Inf
